Exchange,Token,Categories,Trading Pair,Market,Last Traded At,Bid/Ask Spread Percentage,Volume,Current Price (USD),Market Cap (USD),Total Volume (USD),"High (24h, USD)","Low (24h, USD)","Price Change (24h, USD)",Price Change Percentage (24h),Price Change Percentage (7d),Price Change Percentage (14d),Price Change Percentage (30d),Price Change Percentage (60d),Price Change Percentage (200d),Price Change Percentage (1y),Trading Volume (24h),Market Cap Change (24h),Market Cap Change Percentage (24h)
kucoin,RSR,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:43:52+00:00,0.139147%,57690027.1747,0.00647122,333101455,34267016,0.00677509,0.00642921,2.17e-06,0.03355,17.34045,31.43816,22.39178,9.65039,55.57733,246.53602,34267016,-238303.68256,-0.07149
kucoin,ARKM,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:43:56+00:00,0.107057%,307642.4891,1.12,313349348,98506247,1.16,1.082,0.03499146,3.21951,3.88744,18.73387,7.59963,-32.11993,-58.29484,180.72868,98506247,9659822,3.18082
kucoin,PIXEL,"Gaming (GameFi), Gaming Utility Token",USDT,KuCoin,2024-09-20T01:40:28+00:00,0.200659%,810027.6015,0.13984,107760033,47382254,0.148096,0.138805,-0.006020664860738001,-4.12768,2.91385,13.32145,-6.18853,-40.48114,-73.80159,0.0,47382254,-4542159.731783,-4.04459
kucoin,ILV,"Gaming (GameFi), Metaverse, Gaming Governance Token",USDT,KuCoin,2024-09-20T01:45:12+00:00,0.109711%,4011.929,39.15,265918139,23984318,40.35,38.78,-0.3246270679549,-0.82232,-0.04826,8.47918,-6.98047,-47.72855,-67.15535,-3.95058,23984318,-2375292.538983,-0.88533
kucoin,ALICE,"Gaming (GameFi), Metaverse, Gaming Governance Token, Gaming Utility Token",USDT,KuCoin,2024-09-20T01:43:51+00:00,0.093985%,21601.1291,1.064,97997337,14911953,1.078,1.035,0.02925737,2.82704,7.33424,15.58706,-6.55345,-16.14381,-45.9959,36.3682,14911953,2804238,2.94584
kucoin,TRADE,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:42:13+00:00,0.017851%,502709.83,0.561451,21069358,1054384,0.60192,0.558389,-0.038906708528714,-6.48059,9.72611,11.60445,-18.63793,-15.33013,-41.19263,506.91644,1054384,-1449003.862568,-6.43477
kucoin,AITECH,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:44:23+00:00,0.062617%,1609199.48,0.079747,81027191,6137954,0.087839,0.076182,-0.0028111767396507,-3.40509,-3.84649,8.43045,10.80936,-38.79884,-47.6618,275.101,6137954,-2780523.1187443,-3.31774
kucoin,CHR,"Gaming (GameFi), Metaverse, Real World Assets (RWA)",USDT,KuCoin,2024-09-20T01:43:47+00:00,0.203046%,685451.83,0.196816,163740671,19597302,0.206252,0.194851,-0.004299304149328,-2.13773,5.01871,13.95606,11.7212,-28.71097,-49.43681,96.47644,19597302,-3571265.163129,-2.1345
kucoin,MAX,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:44:23+00:00,0.189649%,1552486.1,0.327655,42765549,15668887,0.334498,0.314676,0.01289032,4.09522,-3.19697,6.78678,5.15299,0.0,0.0,0.0,15668887,1592224,3.86713
kucoin,CTC,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:45:12+00:00,0.092764%,17160.3627,0.43039,160290840,6215675,0.437184,0.418213,0.01216368,2.9084,1.35662,13.39685,3.90249,-20.08438,-32.8138,195.99037,6215675,4883369,3.1423
kucoin,WEN,Meme,USDT,KuCoin,2024-09-20T01:43:30+00:00,0.109409%,1658178705.0053,9.149e-05,66485958,7945520,9.715e-05,8.769e-05,3.57e-06,4.065,3.48854,10.06843,16.15408,-43.86179,-72.08388,0.0,7945520,2511359,3.92556
kucoin,WAX,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:43:50+00:00,0.152486%,793546.1529,0.03281006,114752140,11766207,0.03293636,0.03105435,0.00164122,5.26557,6.1986,17.11196,-0.12742,-23.09654,-60.1059,-19.86459,11766207,5930018,5.44928
kucoin,SLP,"Gaming (GameFi), Gaming Utility Token",USDT,KuCoin,2024-09-20T01:43:50+00:00,0.120919%,25283137.901,0.0024879,34489433,10103552,0.00254312,0.00243369,4.348e-05,1.77867,4.24487,8.07368,-4.46553,-24.03171,-64.84328,79.77508,10103552,645318,1.90674
kucoin,NMR,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:45:11+00:00,0.13274%,1457.5478,15.08,110305233,7269787,15.36,14.55,0.448221,3.06407,1.99595,13.25412,-1.18348,-5.06289,-56.85864,18.14313,7269787,3069186,2.86208
kucoin,HEART,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:45:13+00:00,0.012012%,10316584.1637,0.00832633,46475188,99531,0.00859031,0.00822006,7.445e-05,0.90217,0.16048,10.73849,-0.51527,-12.7058,-73.20871,-22.2911,99531,459165,0.99784
kucoin,AURY,"Gaming (GameFi), Metaverse, Gaming Governance Token, Gaming Utility Token",USDT,KuCoin,2024-09-20T01:45:12+00:00,0.036603%,168542.0156,0.272804,16848026,215333,0.281241,0.257043,0.01541241,5.98792,9.73534,11.69766,15.4322,-18.32701,-77.75751,-36.51564,215333,957019,6.02239
kucoin,ALEPH,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:45:09+00:00,0.058038%,716233.32,0.172065,32045795,823447,0.179088,0.161821,0.00977763,6.02487,3.17088,29.89379,28.75065,-18.75933,-51.07697,134.97603,823447,1780901,5.88438
kucoin,NXRA,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:45:15+00:00,0.04344%,8129030.9,0.02313533,18306041,345917,0.02470734,0.0213181,-0.0008190357377607,-3.41915,-7.25711,-33.72651,-29.22815,-73.27766,-85.1505,-59.15686,345917,-644158.811366,-3.39922
kucoin,VANRY,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:44:22+00:00,0.25356%,1912180.68,0.103043,144494468,19471716,0.106823,0.101382,9.308e-05,0.09041,2.22284,17.16719,14.3,-26.68857,-25.98415,0.0,19471716,-506883.774947,-0.34957
kucoin,CUDOS,Artificial Intelligence (AI),BTC,KuCoin,2024-09-20T01:45:11+00:00,0.130039%,3982460.4409,0.00968785,70920311,1302886,0.01049754,0.00924989,0.00043752,4.72982,25.57328,9.07021,18.42308,-3.9393,-63.03149,224.61222,1302886,3130374,4.61776
kucoin,NAKA,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:45:11+00:00,0.11814%,1636772.48,0.935714,60788690,44115847,0.998062,0.798401,0.134284,16.75554,14.86525,25.84356,5.62819,-8.50109,-62.66317,70.30864,44115847,8575662,16.42437
kucoin,WILD,"Gaming (GameFi), Metaverse, Gaming Governance Token",USDT,KuCoin,2024-09-20T01:45:11+00:00,0.189179%,221330.6421,0.264334,73443714,592787,0.27214,0.250511,0.01382389,5.51829,9.59128,22.55048,18.84409,-34.22671,-49.14212,23.40143,592787,4311882,6.23719
kucoin,TRU,"Real World Assets (RWA), RWA Protocol",USDT,KuCoin,2024-09-20T01:45:12+00:00,0.198098%,763169.2784,0.101143,119358658,32642749,0.106255,0.098997,-0.001705085556863,-1.65787,1.184,24.68424,13.06303,-27.9856,34.31315,156.50109,32642749,364696,0.30648
kucoin,OBI,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:45:15+00:00,0.012478%,12902721.1471,0.00801182,5129775,227819,0.00818267,0.00719781,0.00074812,10.29946,17.50958,20.00026,-3.53597,-46.26295,-62.3455,4.96274,227819,482363,10.37917
kucoin,OPUL,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:45:12+00:00,0.061321%,8389979.3572,0.065835,29772185,1376654,0.071708,0.064512,0.00098962,1.52611,1.2407,38.64203,10.05356,-27.86088,-47.15138,15.11845,1376654,105791,0.3566
kucoin,WILD,"Gaming (GameFi), Metaverse, Gaming Governance Token",USDT,KuCoin,2024-09-20T02:09:17+00:00,0.226757%,199422.1559,0.264477,73579540,585055,0.27214,0.25348,0.01093331,4.3122,9.65041,21.9221,18.90822,-34.87391,-49.11468,23.46801,585055,3519745,5.02392
